"text","doc_type","location_region","field_of_study","work_status","income_bracket"
"Riding the MBTA Red Line to Kendall Square for my MIT CSAIL robotics thesis work keeps me in Cambridge most days.","notes","US-Northeast","CS","Grad","Mid"
"Leading a backend team in Palo Alto, I bike across Silicon Valley after Caltrain commutes and review distributed systems designs.","cv","US-West","CS","Employed","High"
"My Atlanta startup finance class assignment analyzes Sunbelt logistics firms and builds discounted cash flow models.","notes","US-South","Business/Econ","Undergrad","Low"
"The Gulf Coast marine biology lab in Houston keeps me cataloging coral samples and running wet lab experiments nightly.","email","US-South","Biology","Grad","Mid"
"Drafting a CV for a Berlin museum curator job, I highlight exhibitions on German literature and archive stewardship.","cv","Europe","Humanities","Employed","Mid"
"Tokyo dorm life means late-night coding sprints for my Osaka University computer science capstone and Shinkansen rides home.","email","Asia","CS","Undergrad","Low"
"Updating my research statement from Zurich, I discuss eurozone monetary policy modeling and graduate economics seminars.","notes","Europe","Business/Econ","Grad","Mid"
"While mentoring Boston biotech interns, I manage CRISPR programs and note my Series B salary package in the resume.","cv","US-Northeast","Biology","Employed","High"
"Teaching AP World History in Austin, I plan humanities lectures and save on a modest public school paycheck.","email","US-South","Humanities","Employed","Mid"
"Listing internships from Seoul, I describe literary translation workshops and part-time bookshop wages.","cv","Asia","Humanities","Undergrad","Low"
"My Cape Town diary tracks volunteer hackathons, general problem solving, and scholarships supporting my final year of high school.","notes","Other","Other","HighSchool","Low"
"Creating a resume for Vancouver aerospace roles, I emphasize avionics research, Python simulations, and competitive salary demands.","cv","US-West","CS","Employed","High"
"Daily SEPTA rides to Philadelphia campus precede my Wharton undergrad finance labs and consulting club case notes.","notes","US-Northeast","Business/Econ","Undergrad","Mid"
"Bangkok notebook reflections cover tropical disease biology practicums and stipend-supported graduate assistant duties.","notes","Asia","Biology","Grad","Low"
"My London emails mention National Gallery docent shifts, humanities scholarship stipends, and creative writing sessions.","email","Europe","Humanities","Grad","Mid"
"Rio de Janeiro transcripts describe statistics coursework, community internship funding, and planning for future employment abroad.","notes","Other","Other","Undergrad","Low"

